glottocode,prose_ref,glottolog_ref,pages
amel1241,Roberts 1998,73962,
duna1248,San Roque 2008:105;225,93110,105;225
fore1270,Scott 1978:48;107,107238,48;107
fore1270,,119595,
fore1270,,143885,
goli1247,Evans et al 2005:94,81761,94
goli1247,Bunn 1974:113,143054,113
goli1247,,128765,
yaga1260,Haiman 1980:371;199,99506,371;199
kalu1248,Grosh 2004:17;65,130893,17;65
kalu1248,Schieffelin 1985:526,132861,526
kamo1255,Drabbe 1953:14,145316,14
kana1288,Royer 1996:3;44;50,553619,3;44;50
rawa1267,Toland 1991:58-61,70647,58
rawa1267,,84220,
west2599,Franklin 1971:62-63,27581,62
west2599,,94430,
kobo1249,Davies 1989:109;112,123674,109;112
gras1249,Dutton 2003:339-340,101683,339
kora1294,Farr 1999:131-133,34264,131
kesa1244,Priestly 2001:103;107,314432,103;107
koro1312,Enk & De Vries 1997:105,311395,105
mauw1238,Berghäll 2010:130;146,45084,130;146
meny1245,Whitehead  2004:95-96,10321,95
mian1256,Fedden 2007:253,35228,253
naba1256,Fabian et al. 1998:45,116279,45
ngge1241,Etherington 2002:127;131,159159,127;131
salt1242,Irwin 1974:57,53259,57
sele1250,McElhanon 1972:23;40,121598,23;40
sele1250,,76930,
siro1249,Wells 1979:34;57;67,62999,34;57;67
siro1249,,47827,
suen1241,Wilson 1974:59;84,60891,59;84
suen1241,,130079,
tain1253,Carlson 1991:12;89;92,128961,12;89;92
tauy1241,MacDonald 1993:73;129;216,83309,73;129;216
tele1256,Healey 1965:28 (Verb Phrase),143580,28
uman1240,Evensen 1996:25,571145,25
unaa1239,Louwerse 1988:108-110,527715,108
unaa1239,,42878,
usan1239,Reesink 1987:108-109,123899,108
usan1239,,144737,
wamb1259,Jang 2008:12;80,553403,12;80
wamb1259,De Vries 1992:61,78780,61
wamb1259,,464375,
wask1241,Ross & Paol 1978:43,55478,43
wask1241,54,145471,
yaga1260,Renck 1975:141,99338,141
yaga1260,,153754,
abau1245,Lock 1999:110,22818,110
abui1241,Kratochvíl 2007:191,91131,191
alam1246,Bruce 1984:175,310156,175
ambu1247,Wilson 1980:66;115,18605,66;115
ambu1247,,39084,
aram1253,Boevé 2003:99,157158,99
bauz1241,Briley 1997:13,89891,13
bine1240,Fleischman/Turpeinen 1975,113282,
buki1249,Conrad 1991:32 & 18,69601,32
buki1249,,548134,
buna1278,Schapper 2010:126;435,102813,126;435
gizr1240,Van Bodegraven &  Van Bodegraven 2004:21,48129,21
hata1243,Reesink 1999:51,132618,51
imon1245,Seiler 1985:84;87;124;139,30978,84;87;124;139
suab1238,De Vries 2004:36,33749,36
kris1246,Donohue/San Roque 2004:64,49601,64
kama1367,Sanders 1994:14;16,84092,14;16
sout2949,Ray 1931:36;40,45923,36;40
kelo1247,Baird 2008,95347,
kolp1236,(Reesink notes),,
kuot1243,Lindström 2002:109;217,46091,109;217
kuot1243,,21547,
lavu1241,Terrill  2003:228-230,62173,228
nucl1594,Peckham 2000,471898,
mali1284,Stebbins 2007   2011,309421,
nucl1622,Drabbe 1955:67;70;141,57430,67;70;141
nucl1622,,151833,
maib1239,Dol 2007:218,101229,218
maib1239,,553279,
mend1268,Hoel et al 1994:88,105341,88
dera1245,De Sousa 2006:137;288,112103,137;288
meya1236,"Gravelle 2004:78 2011 in glottolog, 2010 in the article.",69526,78
moii1235,Reesink 2008,535588,
siwa1245,Onishi 1994:328;410,551250,328;410
nami1256,Feldpausch 1992:38;58,50406,38;58
orya1242,Fields 1997,118873,
roto1249,Robinson 2007:205       2011,95683,205
sulk1246,Schneider 1942,150994,
sulk1246,Reesink 2005,26815,
teiw1235,Klamer 2010,32869,
teiw1235,Klamer & Schapper 2012,476560,
tido1248,Van Staden 2000:212,54761,212
tobe1252,Holton 2003:21,83312,21
yele1255,Stephen Levinson (personal communication),,
yess1239,Foreman 1974:37;109,80968,37;109
yima1243,Foley 1991:208;213;307,49447,208;213;307
